Length,Radix Sort,QR Sort
10000,1055,2606
20000,2040,3278
30000,3128,3868
40000,4100,4521
50000,5051,4953
60000,6278,5743
70000,7656,6518
80000,8613,6927
90000,9576,7458
100000,10358,7215
110000,8762,8655
120000,9671,9357
130000,10262,9860
140000,11067,10482
150000,11348,10999
160000,12534,11732
170000,13167,12320
180000,14670,13524
190000,14987,13535
200000,15334,14072
210000,16302,15282
220000,17190,15544
230000,18250,16501
240000,18621,16580
250000,19050,17221
260000,20461,17944
270000,21433,19347
280000,21833,19416
290000,23279,20609
300000,22388,20221
310000,24364,21797
320000,24938,21692
330000,25547,23028
340000,26295,23023
350000,26925,23716
360000,28126,24574
370000,28881,25778
380000,29774,25879
390000,31089,27483
400000,30264,26627
410000,33753,29154
420000,33595,28739
430000,34213,30232
440000,36273,30495
450000,35903,30603
460000,35705,31180
470000,36642,32453
480000,37045,32402
490000,38658,34234
500000,38193,32758
510000,39187,34920
520000,40457,34957
530000,41046,37045
540000,42482,36579
550000,43282,36304
560000,44033,38105
570000,45657,41208
580000,45464,39275
590000,47055,40847
600000,45713,39056
610000,47807,41872
620000,49432,42384
630000,50192,43717
640000,50823,43922
650000,50517,42580
660000,54435,45498
670000,56582,47760
680000,55207,46347
690000,55963,48223
700000,56030,46180
710000,57392,49125
720000,57003,49509
730000,61674,50185
740000,57495,50007
750000,57862,48791
760000,59353,52001
770000,61966,53442
780000,62573,53828
790000,62943,54749
800000,63551,52959
810000,63773,55473
820000,64397,55166
830000,66323,58713
840000,67885,57500
850000,68295,56359
860000,67817,58927
870000,68614,59429
880000,70780,60293
890000,72004,60820
900000,71597,59704
910000,72822,63261
920000,79021,65219
930000,78360,67214
940000,76906,65468
950000,77176,62928
960000,79955,66053
970000,81243,67825
980000,82277,68199
990000,73087,72300
1000000,80628,64581
