Length,Quicksort,Merge Sort,Radix Sort,QR Sort
10000,407,504,191,294
20000,994,1240,363,329
30000,1131,1596,644,514
40000,1547,2635,818,527
50000,2295,3254,1369,916
60000,3089,4548,1428,1415
70000,5050,4518,2076,1284
80000,4283,5727,2129,1732
90000,4642,5981,3531,1418
100000,4549,6937,2619,1537
110000,5205,7658,2135,1941
120000,5701,8312,1874,1939
130000,6189,8602,2518,2561
140000,6573,12094,2871,2815
150000,5822,12479,2915,2451
160000,9110,13225,3077,2114
170000,8766,13479,3481,3425
180000,8200,13978,3352,2844
190000,9260,17264,4314,3760
200000,12116,15012,3648,3914
210000,11293,15631,3615,3290
220000,13568,14723,4251,3903
230000,14067,16234,4065,3536
240000,13083,15098,3955,3815
250000,11380,19226,5356,3447
260000,11958,18838,4690,3644
270000,10676,20126,4604,3874
280000,13413,16894,6006,5164
290000,14685,21741,6691,5408
300000,16250,20536,4987,3689
310000,15398,22812,5677,5238
320000,15573,27370,6974,5669
330000,15191,24954,6671,4761
340000,17345,26656,7619,6159
350000,15434,25918,6307,5163
360000,18689,24460,8933,5770
370000,20311,27667,7875,5727
380000,18182,26206,7743,6210
390000,18661,32224,9109,6962
400000,18524,30249,8535,6531
410000,20014,32885,8565,8242
420000,20096,30823,9987,9086
430000,23149,38592,10967,8694
440000,22459,34402,9467,8420
450000,23199,36750,10161,8958
460000,25509,35535,9607,9072
470000,24915,35671,10317,9476
480000,25205,41136,10201,8411
490000,23480,35509,10073,9716
500000,26271,38498,15597,7727
510000,28670,41767,12680,10581
520000,29489,42260,12806,10880
530000,28719,44907,11201,11256
540000,28600,43051,14007,13294
550000,29875,39860,13561,11275
560000,27888,44355,13228,11645
570000,29424,44642,15053,10189
580000,30963,42098,13611,14172
590000,31947,43701,12123,10495
600000,29654,45297,13966,10765
610000,35922,44602,17938,14310
620000,34570,53002,15775,13717
630000,33009,50548,14881,15314
640000,34565,49464,15052,12891
650000,32157,53317,14318,13440
660000,36870,50923,14967,17062
670000,36714,53824,17239,15168
680000,37300,50623,16090,13442
690000,36003,50684,18445,17630
700000,37344,50965,18679,14504
710000,38933,53755,14910,13357
720000,38146,51297,15390,16459
730000,35824,53777,18861,16494
740000,38420,55554,17920,16492
750000,46412,57254,19312,16995
760000,41367,64992,15606,15407
770000,42799,57725,20954,14258
780000,39780,59327,17092,15900
790000,40153,61230,17257,15971
800000,44435,57455,21305,16286
810000,40883,64255,18413,18341
820000,46068,63293,20875,18444
830000,43324,63110,18954,17048
840000,42087,66994,21268,21597
850000,42054,59812,18013,20397
860000,44821,65253,22338,18514
870000,42744,67792,23912,17605
880000,45710,62875,20714,17454
890000,47352,65841,21996,19647
900000,47266,68313,21189,17321
910000,52083,70691,23220,19104
920000,54526,70234,19514,20520
930000,49053,68846,20598,20996
940000,51182,69957,22423,18777
950000,46639,69085,22446,19296
960000,51995,74799,21954,22261
970000,57786,73054,24340,19019
980000,53264,75297,27245,21653
990000,50251,72601,21879,22838
1000000,50264,76390,21686,17888
